richness_herb,veg_type,COV_TREES,COV_SHRUBS,cov_evergreen,SOIL_DEPTH,PH,hli_data,mean_annual_temp,annual_prec,prec_warm,tri
21,mixed deciduous,50,15,78.82965472598652,14,6.99,0.7497244562212318,16.950000000000045,1740.7,173.3,7.438901901245117
27,mixed deciduous,70,10,4.925498439,6,6.72,0.9513092688689496,14.050000000000011,2309.9,235.4,21.20672035217285
35,mixed deciduous,50,10,11.43191799,10,6.51,0.9521116871604132,14.050000000000011,2309.9,235.4,22.457555770874023
23,mixed deciduous,35,80,7.869955752707556,14,6.78,0.9538741044459492,14.950000000000044,2270.6,231.7,19.03515625
19,mixed deciduous,60,10,21.088125805678775,11,6.39,0.9760539736201514,14.950000000000044,2270.6,231.7,24.874774932861328
24,mixed deciduous,45,20,25.37466415969312,12,6.51,0.9477069094872528,15.350000000000025,2188,222.7,21.145124435424805
11,mixed deciduous,75,1,37.8125,10,6.69,1.0223255970298628,15.150000000000034,2307,226.5,16.12890053
26,mixed deciduous,70,8,1.9850499375,21,6.89,0.962389480814994,11.150000000000034,2333.7000000000003,245.7,15.918068885803224
30,mixed deciduous,60,60,0,12,5.82,0.995177521,10.750000000000057,2516.8,269.40000000000003,17.549060821533203
15,mixed deciduous,70,40,73.55493216019127,17,6.38,0.6476505540884364,15.450000000000044,2809.7000000000003,290.1,23.065542221069336
35,mixed deciduous,50,80,48.60814625334658,10,6.05,0.7373008982175411,15.450000000000044,2809.7000000000003,290.1,25.01001739501953
43,mixed deciduous,50,65,62.77667968,10,5.99,0.9604037909807734,13.950000000000044,2628.4,264.8,23.036489486694336
55,mixed deciduous,35,3,13.62408845213247,10,6.54,1.0235354038542646,14.750000000000057,2275.5,219.8,22.78462791442871
57,mixed deciduous,50,40,19,27,5.27,0.91608723485949,14.350000000000025,1792.1,167.10000000000002,15.043314933776855
22,mixed deciduous,85,45,22.602667071249996,15,6.47,0.5830672513840685,14.150000000000034,1845.6,176.10000000000002,29.918092727661133
36,mixed deciduous,80,20,14.86078385246031,10,5.75,0.8367795530939284,14.350000000000025,2237.8,217.2,33.86461258
26,mixed deciduous,45,20,13.5708175,25,5.66,0.8907051723192785,16.750000000000057,1864.5,176.60000000000002,15.931448936462402
49,mixed deciduous,55,40,0.9975,22,5.69,0.8825690420664943,14.350000000000025,2481.2000000000003,241.1,29.030668258666992
42,mixed deciduous,60,10,0.5,14,6.11,0.6204830525773192,13.750000000000057,2545.5,251.1,17.066865921020508
78,mixed deciduous,30,10,0,11,7.07,0.9306427145170066,8.150000000000034,2304.9,274.2,4.584108829498291
61,mixed deciduous,40,30,0,10,5.84,0.7121420505560919,9.250000000000057,2294.7000000000003,266.8,1.800599217414856
64,mixed deciduous,55,70,0,9,5.15,0.9653792472600468,10.450000000000044,2214.1,251.4,11.212444305419922
34,mixed deciduous,80,20,0,5,6.35,0.8758302119604339,11.950000000000044,2810,258.5,14.676872253417969
52,mixed deciduous,40,25,0.5,15,6.26,0.7590872007211706,9.950000000000044,2800.2000000000003,269.8,20.60573387145996
18,mixed deciduous,60,30,29.33441665898534,4,6.96,0.7647554980208773,16.850000000000023,1592.8000000000002,157.3,14.284442901611328
19,evergreen oak,25,60,59.96177097839612,10,6.16,0.9343137280036642,16.05000000000001,1334.2,134.4,8.323824882507324
14,evergreen oak,60,50,64.48965661255545,10,6.87,0.8972040287485652,16.450000000000045,1337.1,133,16.971193313598633
36,mixed deciduous,25,25,0.9975,10,6.24,0.6613329363734284,11.750000000000057,3378.6000000000004,343.1,22.82431983947754
30,mixed deciduous,60,30,0,20,6.06,0.748808171,10.850000000000025,3530.5,355.3,28.17828369140625
44,mixed deciduous,50,10,0.5,15,6.27,0.6875280253360899,10.750000000000057,3485.5,358.1,9.024545669555664
28,mixed deciduous,75,20,0.5,5,6.27,0.8396985038550937,10.450000000000044,3277.8,344.6,8.114214897155762
42,mixed deciduous,50,35,4.543289387874999,7,7.15,0.9538551583471526,14.950000000000044,2408.3,212.6,26.069982528686523
25,mixed deciduous,55,70,0,15,4.51,0.9699597797992328,13.650000000000034,2084.3,199,27.85656356811523
35,mixed deciduous,80,20,13.1365,20,5.78,0.4070886710428287,13.650000000000034,2084.3,199,26.363880157470703
38,mixed deciduous,40,50,0,15,6.6,0.9966441416169016,11.750000000000057,2426.2000000000003,228.1,29.129724502563477
13,evergreen oak,50,70,64.55104132675284,5,6.81,0.8894098418508096,16.450000000000045,2757.3,267.1,18.35290145874023
30,mixed deciduous,50,70,42.36108343,7,6.74,0.5478392211122672,15.750000000000057,2856.9,295,47.403995513916016
59,mixed deciduous,30,35,10.89775,3,6.29,0.6679534527222999,13.050000000000011,2749.6000000000004,288.8,18.14782143
47,mixed deciduous,70,15,0,18,5.65,0.9855135376288596,11.750000000000057,3079.7000000000003,315.5,13.32550048828125
40,mixed deciduous,50,10,0,20,6.05,0.9866582465292442,10.750000000000057,2328.8,241.9,7.685473918914795
70,mixed deciduous,40,5,0.5,15,5.64,0.9371391057755866,9.650000000000034,2406.9,255,2.650881290435791
55,mixed deciduous,65,10,0,20,5.91,0.9633194565500264,11.150000000000034,2135.6,248.2,6.399122238
55,mixed deciduous,60,20,0,20,6.52,0.992110919582704,10.550000000000011,2266.2000000000003,247.8,5.265279769897461
46,mixed deciduous,60,30,0,15,5.85,0.8390858696978319,10.550000000000011,2707.4,291.2,17.116432189941406
52,mixed deciduous,40,40,0,20,6.34,0.8036712619253844,9.250000000000057,3069.5,317,9.202065467834473
46,mixed deciduous,50,25,0,15,6.53,0.6453403151974884,9.850000000000025,2916.9,311,27.37883949279785
36,mixed deciduous,80,20,0,15,6.18,0.9838793756678336,11.050000000000011,2575.3,264.5,21.270599365234375
36,mixed deciduous,40,50,0,20,5.83,0.9341349561366372,11.550000000000011,2233.2000000000003,234.6,6.053654193878174
33,mixed deciduous,65,35,0.9975,25,6.29,0.6926408738039966,13.450000000000044,2960.2000000000003,297.6,24.817176818847656
32,mixed deciduous,85,10,42.649278011726736,20,6.11,0.9359234485424804,14.350000000000025,2114.3,207.8,14.788047790527344
29,mixed deciduous,40,30,16.16369298,5,6.65,0.9493697746385108,14.850000000000025,2039.4,197,26.588010787963867
51,mixed deciduous,25,50,2.5726495631246875,15,6.01,0.7434493277344147,15.150000000000034,2155.8,195.5,12.21187973022461
